Title	Abstract	Keywords
‘Without Occupation You Don't Exist’: Occupational Engagement and Mental Illness.	In this Interpretative Phenomenological Analysis (IPA) we set out to explore the meanings of work for people living with severe and enduring mental health problems. The participants were three women and seven men who were attending a mental health day centre. Data were collected through up to three depth interviews with each participant over eighteen months. The interviews were digitally recorded and transcribed verbatim. Following transcription data were analysed according to IPA principles. Two overarching themes were identified. Building and maintaining an occupational identity expressed the ways in which participants used occupations as the building blocks of an evolving identity. Most of the participants wanted to work, and participation in occupations was seen as an essential to recovery from mental ill health. Work, and other ways of belonging encapsulated the need to feel connected to others. Many of the participants envisaged working as a way of achieving this. The longitudinal nature of the study facilitated engagement with the developing narratives and exploration of the changes and consistencies in the participants’ meaning making about their occupations. Implications for understanding individuals’ occupational participation which enhances a sense of self, and promotes feelings of belonging are identified.	women
Agriculture – Who Cares? An Investigation of ‘Care Farming’ in the UK	‘Care farming’ (variously ‘green care in agriculture’, ‘farming for health’, ‘social farming’ and ‘therapeutic  agriculture’) in the UK has grown rapidly over the last five years from the low base identified by preliminary  scoping studies conducted at that time. In countries where the activity is most widely practised,  the research focus has been primarily upon the care provided by farms, leaving a paucity of knowledge  about the farms providing care. However, such care is ‘co-produced’, meaning that insights from both  agricultural geography and the geographies of care deserve to be unified. In the British context, an  agricultural perspective has seldom been applied; where done so, it has dismissed care farming as  merely ‘hobby farming’ or conceptualised it as a minor economic activity helping to diversify the farm  business and illustrating ‘multifunctionality’. Surprisingly little attention has been paid to either its  relationship with productive ‘core’ farming activities or the consequences for farmers themselves. Using  questionnaires and interviews, the express purpose of this paper is to identify and explicate the characteristics  of care farms and farmers. Analysis reveals that it is not easy to pigeon-hole care farmers  according to their age, motives, size of farm or land tenure. The paper moves on to discuss the transformative  nature of care farming on the way in which farmers live their lives. In particular, symbiotic  humaneanimal relations emerge regardless of whether livestock are kept as pets or commercial enterprises.  Also revealed is the altruistic satisfaction of farmers as they provide ethical care and see  positive changes in their service users. The paper concludes by suggesting how the multiple connections  that are found to result from the interaction of agricultural practises and care provision might be more accurately conceptualised and articulated as 'connective' agriculture.	land
Social Isolation in Older Adults and its Impact on Health	Social isolation is a complex phenomenon among older adults which can lead to numerous detrimental health conditions. With a high prevalence, and an increasing number of older persons, social isolation will impact the health, well-being, and quality of life of numerous older adults now and in the foreseeable future.   For this review, a series of literature searches of the Summon, CINAHL and Medline databases were conducted to gain understanding of what factors cause social isolation and how this impacts on health.    The findings suggest that older adults, who can manage changes within their social circumstances and stay connected socially, may experience less physical and mental health issues. However, for those older adults who struggle to cope with changes in their social circumstances, there needs to be a process of identification to recognise those who are reluctant to engage in social activities and illness preventative measures. For healthcare professionals this means early assessment of social isolation and referring at-risk individuals to available community resources or annual health screening programmes in primary care clinics. These measures could be proactive for determining which older persons have health behaviours or coping skills that place them at-risk and would serve to reduce the numerous negative health outcomes associated with social isolation.	well-being
Rapid Mapping of Urban Development from Historic Ordnance Survey Maps: an Application for Pluvial Flood Risk in Worcester	Between 2004 and 2008 the city of Worcester, UK experienced a number of pluvial flood events. The causes of this kind of flooding are the topic of ongoing research. This paper describes a study that aimed to investigate the urban development of Worcester over time in relation to the location of recorded pluvial flood incidents. A novel rapid mapping methods has been developed to derive urban development over five time periods between 1886 and 1995 from scanned Ordnance Survey historical maps. The technique compared well with manual digitization results with k-hat values ranging from 0.67 to 0.87 for the land use maps created for different time periods. The technique performed least well for the oldest map series, due to misclassification of the abundant symbols and annotation. The method will be particularly beneficial for investigation of town/city development in time over large areas. The resulting map of urban development in Worcester (scale 1:20,000) shows that almost half of the recorded pluvial flood incidents occurred in areas built up between 1956 and 1975, which contradicts local belief that an outdated (Victorian) drainage system causes most of the problems. The quality of the post World War II developments is more likely to be a source for concern.	land
Critical Education about Marriage: Combining Critical Pedagogy and Phronesis For Religious Education.	This article discusses the nature of criticality for religious education curriculum and pedagogy, with a particular focus on marriage in Hebrew Bible (Old Testament, abbreviated OT) texts. First, ‘criticality’ is defined in historical and literary terms, asking questions of what the Bible writers meant and intended. Secondly, the use of Bible texts is explored through the prism of ‘critical theory’, in which social critique particularly emphasises notions of justice, equity and democratic ‘voice’. The presence of secular Jewish thought within the Frankfurt school of social-critical thought suggests some influence from the ancient Jewish prophetic call for everyday justice. Thirdly, I explore synergies between critical theory and the Aristotelian concept of phronesis, ‘practical wisdom’ on effective living, as developed by Bent Flyvbjerg and colleagues. Through these lenses, I examine how these ideas might affect the way marriage is discussed and taught in religious education in Africa and elsewhere. Finally I discuss the broader potential for this mix of Critical Theory and phronesis for education as a whole.	justice
Three Years (2008-2010) Measurements of Atmospheric Concentrations of Organochlorine Pesticides (OCPs) at Station Nord, North East Greenland	Atmospheric concentrations of organochlorine pesticides (OCPs) have been measured for the first time at Station Nord, North-East Greenland, from 2008 to 2010. The data obtained are reported here. Hexachlorobenzene (HCB), endosulfan I and hexachlorocyclohexanes (HCHs) were the predominant compounds detected in the atmosphere, followed by p,p′-DDE and dieldrin. Chlordane isomers and related compounds (trans- and cis-chlordanes, heptachlor and heptachlor epoxide, trans- and cis-nonachlor) were also detected. Atmospheric concentrations of the investigated compounds were correlated with temperature using the Clausius–Clapeyron equation in order to obtain information about their transport properties. The correlation between atmospheric concentrations and temperature was not significant for endosulfan I, γ-HCH and p,p′-DDT, which indicates that direct transport from direct sources is the dominating transport mechanism for these compounds. A significant correlation with temperature was found for all the other studied pesticides and pesticide degradation products, which indicates that re-emission of these compounds from previously contaminated surfaces is an important factor for the observed variation in concentrations. Pesticide concentrations were also correlated with sea ice cover. Concentrations of the compounds that have not been in use for decades correlated with temperature and ice cover, while concentrations of compounds still in use did not correlate with either of these parameters. These observations indicate that processes such as revolatilization from the open sea surface are important mediating factors in the dynamics of anthropogenic persistent pollutants in the Arctic environment under the expected influence of climate change processes.	climate change
Spread of Invasive Ragweed: Climate Change, Management and How to Reduce Allergy Costs	* Ragweed Ambrosia artemisiifolia L. is rapidly spreading in Europe. Its pollen is highly allergenic, with 4–5 of Europeans being sensitized. There is an urgent need to curtail the further spread to minimize allergy costs. * We simulated the spread of ragweed in Austria and southern Germany (Bavaria) until 2050 with particular emphasis on expected climate change. Using different management scenarios and levels of management effort, we analysed the potential for reducing human allergy costs, that is, expenses caused by allergies from ragweed pollen, by curtailing the accelerating spread of ragweed. We accounted for three contrasting climate assumptions: no change in temperature and moderate (annual temperature increase of 0·025 °C) and more extreme (annual temperature increase of 0·04 °C) climate change. * We found that a carefully designed management plan consisting of survey and eradication can drastically reduce the spread of ragweed. Without management, mean allergy costs for the management period (2011–2050) amount to about 290, 335 and 365 million € annually under the three climate change assumptions. * Following an optimally allocated management strategy with an annual budget of 30 million € reduces mean allergy costs by 258, 295 and 325 million € per year. Thus, the management may yield substantial savings, in particular under more extreme warming, where total savings over 40 years amount to about 12 billion €. * Synthesis and applications. Our study illustrates that management of invasive alien species has an economic benefit beside natural conservation. We provide guidance for the future management using the example of ragweed in Austria and Bavaria and show that although the species has expanded its range and abundance substantially in recent years, a well-designed and ambitious management programme still may yield substantial benefits. This is true for current climatic conditions as well as for future climate change scenarios, albeit management costs increase with a warming climate. However, possible gains are increasing in parallel. Given the scale of impacts on human health, and the substantial gains accrued from management, our results suggest that it is wise to halt further spread of ragweed.	climate change
Mobile Phones will Disrupt Global Banking Industry	The World Bank recently announced that 2.5 million adults in the world did not have access to bank accounts and therefore have no financial security. In its report on financial inclusion, the World Bank wanted to change this by providing financial access to all working-age adults by 2020. The only way this goal can be achieved is through the use of mobile devices to replace traditional banking networks and infrastructure. A similar trend is also emerging in advanced Western countries where smart phones are now being used as mobile wallets, therefore substituting services previously provided by the major retail banks.	infrastructure
Senior Managers’ Perspectives of Leading and Managing   Effective, Sustainable and Successful Partnerships	Formal and informal partnerships have become key features of education policy and practice in many countries and managing such collaborative arrangements is an important dimension of the role(s) of leaders of educational organizations. Recent research has shown both the tensions and conflict that can develop in partnerships as well as the opportunities and benefits of partnership working for organizations and individuals. This article focuses on the characteristics of partnerships that contribute to their effectiveness, sustainability and success, filling a gap in the literature on educational partnerships. The research data emanate from a qualitative study of partnership working in England. The study used a grounded approach and inductively linked characteristics of partnerships found in the partnership literature with empirical data from a case study of a subregional partnership of education and training organizations. This combined evidence is used to conceptualize partnership as a continuum of weak to strong forms of partnership and to develop a table of  characteristics which underpin such partnerships. The findings reveal the extent to which trust, networks, norms and values support effective, sustained and successful partnerships. These characteristics are differentiated and may fluctuate during the lifecourse of a partnership but remain fundamental features of partnership working and significantly contribute to the strength and effectiveness of partnerships.	sustainability,sustainable
Can a School-based Intervention Increase Children’s Fruit and Vegetable Consumption in the Home Setting?	Aims: Although previous research has shown the Food Dudes programme increases children’s fruit and vegetable consumption at school, the evidence for the effectiveness in the home setting is more equivocal. The school environment is identified as a logical setting for targeting children’s fruit and vegetable consumption however to produce sustainable changes in behaviour, it is equally important that interventions target consumption in the home setting. This study aimed to establish whether the Food Dudes intervention can influence home consumption of fruit and vegetables and the extent to which any changes in eating behaviour following the intervention were maintained in the long term.     Methods: A total of 34 children aged 4-11 years from 8 primary schools (4 intervention and 4 control) in the West Midlands, UK completed a 7 day photographic food diary at baseline (prior to the intervention), 3 month follow-up (post intervention) and 12 month follow-up.     Results: The Food Dudes programme did not influence either short or long term changes in children’s consumption of fruit and vegetables at home during weekdays or at the weekend.     Conclusions: The Food Dudes programme had no effect on changing children’s fruit and vegetable consumption in the home environment. Further development of the programme could consider how parental and home environmental factors may be combined with the principles of the Food Dudes programme to influence children’s fruit and vegetable consumption in this setting.	consumption,sustainable
`Next gen` Internet Alters Global Corporate Strategies	The Internet is now entering a new phase of innovation with billions of consumer devices, including smart phones, tablets and industrial machines, being connected to one-another using sensors, telecommunications links and Internet infrastructure. More objects are becoming embedded with sensors and gaining the ability to communicate resulting in the number of objects connected to the Internet exceeding the number of people on earth. Following on from Web 1.0 and Web 2.0 (the consumer Internet), this next generation of Internet has become known as the industrial Internet, `the Internet of things`, the `Internet of everything` and machine-to-machine or [M2M] communication. This is not only creating new business models but a range of new benefits including improved business processes and reduced costs and risks. However, there are potential drawbacks for those organisations that are not able to exploit these benefits which is referred to as the `data divide`.	infrastructure,innovation
Student and Staff Perceptions of a Vacation Research Assistantship Scheme	There is a push for universities to equip graduates with desirable employability skills and ‘hands-on' experience. This article explores the perceptions of students and staff experiences of a research assistantship scheme. Nine students from the University of Worcester were given the opportunity to work as a student vacation researcher for up to 10 weeks. This opportunity gave ‘hands-on’ experience to students to understand real world research, thereby enabling the development of academic and research skills and increasing a student’s employability. The scheme received positive feedback from both students and academic staff and was recommended as a means to enhance student’s future employment.	employment
Building a Successful Olympic Team Selection Protocol in Women’s Handball: A Case Study Examining the Benefits of Employing Reflective Practice	The sharing of applied practice offered in the current paper affords an opportunity to view how the use of reflective practice can serve as a problem-solving catalyst to a variety of issues raised during support provided to GB women’s handball within an Olympic setting. The first author was faced with a number of scenarios during her applied experiences with this team, and made use of reflective practice (RP) at various points during the support process to help make crucial decisions about what actions to take regarding her involvement in, and support with, team selection. The main scenario presented focuses on the request for the practitioner to advise on the development of an Olympic team selection protocol. The current paper presents how RP was used as a mechanism for supporting the final decisions about how best to design and execute this very sensitive process, resulting in the development of an effective protocol for Olympic team selection. The paper aims to highlight how RP can be used as a tool for practitioners to problem-solve and make sense of the information provided to them when supporting athletes in the field.	women
Public Protection? The Implication of Grayling's 'Transforming Rehabilitation' Agenda on the Safety of Women and Children	Abstract  The Coalition Government's new Transforming Rehabilitation (TR) agenda jeopardises the work undertaken with perpetrators of domestic abuse by highly skilled, qualified probation staff. Under new changes outlined by Grayling, Lord Chancellor and Secretary of State for Justice, probation clients who are assessed as posing a medium/low risk of causing harm will be assigned to private sector/voluntary organisations rather than come under the remit of the National Probation Service. This article argues that victims of domestic abuse, primarily women and children, will be placed at an increased risk of harm given this latest TR strategy. The majority of domestic abuse cases will be assessed as posing a medium risk of causing harm and will receive lower levels of intervention by a variety of disparate agencies and organisations. The Ministry of Justice states that the National Probation Service will directly manage offenders who pose a high risk of serious harm to the public, this article will argue that all perpetrators of domestic abuse should be considered as an important exception to this stance, and should remain under the auspices of Probation supervision, irrespective of statistical risk assessment, as has sex offender case management and sex offender treatment programme delivery.	justice,women
Becoming sexual. A Critical Appraisal of the Sexualization of Girls (Book Review)	Book review of "Becoming sexual. A critical appraisal of the sexualization of girls", by R. Danielle Egan, Cambridge, Polity Press, 2013, viii 188 pp., £15.99 (paperback), ISBN 978-0-7456-5073-9	girls
A Comparison Of Galvanic Skin Conductance and Skin Wettedness as Indicators Of Thermal Discomfort During Moderate and High Metabolic Rates.	The relationship between local thermal comfort,  local skin wettedness (wlocal) and local galvanic skin conductance (GSC) in 4 body segments during two different exercise intensities was compared in 10 males. In a balanced order, participants walked at 35% VO2max for 45 minutes (WALK) (29.0 ± 1.9°C, 29.8 ± 3.6% RH, no wind) in one test and in a separate test ran at 70% VO2max for 45 minutes (RUN) (26.2 ± 2.1°C, 31.1 ± 7.0% RH, no wind). During both tests, participants wore a loose fitting 100% polyester long sleeve top and trouser ensemble with a low resistance to heat and vapour transfer (total thermal resistance of 0.154 m2∙K∙W-1 and total water vapour resistance of 35.9 m2∙Pa∙W-1). wlocal, change from baseline in GSC (ΔGSC) and local thermal comfort were recorded every 5 minutes. The results suggest that both wlocal and ΔGSC are strong predictors of thermal comfort during the WALK when sweat production is low and thermal discomfort minimal (r2>0.78 and r2>0.71, respectively). Interestingly, during the RUN wlocal plateaued at ~0.6-0.8 due to the high sweat production, whilst ΔGSC gradually increased throughout the experiment. ΔGSC had a similar  relationship with thermal comfort to wlocal during the RUN (r2>0.95 and r2>0.94, respectively). Despite the strength of these relationships, the ability of wlocal to predict local thermal comfort accurately dramatically reduces in the exponential part of the curve. In a situation of uncompensated heat stress such as high metabolic rate in hot climate, where sweat production is high, ΔGSC shows to be a better predictor of local thermal comfort than wlocal. The wlocal data shows regional differences in the threshold which triggers local discomfort during the WALK than RUN; lower values are found for upper arms (0.22 ± 0.03  and 0.28 ±0.22) and upper legs (0.22 ± 0.11 and 0.22 ±0.10), higher values for upper back (0.30 ± 0.12and 0.36 ±0.10) and chest (0.27 ± 0.10and 0.39 ±0.32), respectively. However, no regional differences in the threshold of discomfort are found in the ∆GSC data. Instead, the data suggests that the degree of discomfort experienced appears to be related to the amount of sweat within and around the skin (as indirectly measured by ΔGSC) at each body site.	water
The Impact of School Leadership on Parental Engagement: a Study of Inclusion and Cohesion	This article focuses on the role played by principals in enhancing parental involvement in primary schools. The schools involved in this research were characterised by a high presence of ethnic minority children and were located in a neighbourhood of low social and economic status in the Midlands region of the United Kingdom. Qualitative methods were employed in order to explore the influence of strong leadership on engagement of the parents. The study spanned a period of four years, giving an opportunity to examine sustainability of the activities introduced by the principals and staff. The findings reported are based on data collected from an Infant and Junior School involved in a number of extra-curricular and curriculum-enhancing projects. It argues that strong leadership fosters engagement of parents in school activities and thus academic achievement of pupils improved over time. The findings bring evidence that the role of the school principal is crucial in the introduction, implementation and sustainability of solutions focused on parental involvement, as well as bringing benefits to the social cohesion of the local community.    Full Text:	sustainability
Do Urban Canyons Influence Street Level Grass Pollen Concentrations	In epidemiological studies, outdoor exposure to pollen is typically estimated using rooftop monitoring station data, whilst exposure overwhelmingly occurs at street level. In this study the relationship between street level and roof level grass pollen concentrations was investigated for city centre street canyon environments in Aarhus, Denmark, and London, UK, during the grass pollen seasons of 2010 and 2011 respectively. For the period mid-day to late evening, street level concentrations in both cities tended to be lower than roof-level concentrations, though this difference was found to be statistically significant only in London. The ratio of street/roof level concentrations was compared with temperature, relative humidity, wind speed and direction, and solar radiation. Results indicated that the concentration ratio responds to wind direction with respect to relative canyon orientation and local source distribution. In the London study, an increase in relative humidity was linked to a significant decrease in street/roof level concentration ratio, and a possible causative mechanism involving moisture mediated pollen grain buoyancy is proposed. Relationships with the other weather variables were not found to be significant in either location. These results suggest a tendency for monitoring station data to overestimate exposure in the canyon environment.	cities
Optical Remote Sensing of Submerged Aquatic Vegetation: Opportunities for Shallow Clearwater Streams	Remote sensing has rarely been used as a tool to map and monitor submerged aquatic vegetation (SAV)  in rivers, due to a combination of insufficient spatial resolution of available image data and strong attenuation  of light in water through absorption and scattering. The latter process reduces the possibility to  use spectral reflectance information to accurately classify submerged species. However, increasing availability  of very high resolution (VHR) image data may enable the use of shape and texture features to help  discriminate between species by taking an object based image analysis (OBIA) approach, and overcome  some of the present limitations.  This study aimed to investigate the possibility of using optical remote sensing for the detection and  mapping of SAV. It firstly looked at the possibilities to discriminate submerged macrophyte species based  on spectral information only. Reflectance spectra of three macrophyte species were measured in situ  across a range of submergence depths. The results showed that water depth will be a limiting factor  for the classification of species from remote sensing images. Only Spiked Water Milfoil (Myriophyllum  spicatum) was indicated as spectrally distinct through ANOVA analysis, but subsequent Jeffries–Matusita  distance analysis did not confirm this. In particular Water Crowfoot (Ranunculus fluitans) and Pondweed  (Potamogeton pectinatus) could not be discriminated at 95% significance level. Spectral separability of  these two species was also not possible without the effect of an overlying water column.  Secondly, the possibility to improve species discrimination, using spatial and textural information was  investigated for the same SAV species. VHR image data was acquired with a Near Infrared (NIR) sensitive  DSLR camera from four different heights including a telescopic pole and a Helikite UAS. The results show  that shape and texture information can improve the detection of the spectrally similar Pondweed and  Water Crowfoot from VHR image data. The best performing feature ‘length/width ratio of sub-objects’  was obtained through expert knowledge. All of the shape and texture based features performed better  at species differentiation than the spectrally based features.  In conclusion this study has shown that there is considerable potential for the combination of VHR  data and OBIA to map SAV in shallow stream environments, which can benefit species monitoring and  management.	water
Ammonia emissions from deciduous forest after leaf fall	The understanding of biochemical feedback mechanisms in the climate system is lacking knowledge in relation to bi-directional ammonia (NH3) exchange between natural ecosystems and the atmosphere. We therefore study the atmospheric NH3 fluxes during a 25-day period during autumn 2010 (21 October to 15 November) for the Danish beech forest Lille Bøgeskov to address the hypothesis that NH3 emissions occur from deciduous forests in relation to leaf fall. This is accomplished by using observations of vegetation status, NH3 fluxes and model calculations. Vegetation status was observed using plant area index (PAI) and leaf area index (LAI). NH3 fluxes were measured using the relaxed eddy accumulation (REA) method. The REA-based NH3 concentrations were compared to NH3 denuder measurements. Model calculations of the atmospheric NH3 concentration were obtained with the Danish Ammonia MOdelling System (DAMOS). The relative contribution from the forest components to the atmospheric NH3 flux was assessed using a simple two-layer bi-directional canopy compensation point model. A total of 57.7% of the fluxes measured showed emission and 19.5% showed deposition. A clear tendency of the flux going from deposition of −0.25 ± 0.30 μg NH3-N m−2 s−1 to emission of up to 0.67 ± 0.28 μg NH3-N m−2 s−1 throughout the measurement period was found. In the leaf fall period (23 October to 8 November), an increase in the atmospheric NH3 concentrations was related to the increasing forest NH3 flux. Following leaf fall, the magnitude and temporal structure of the measured NH3 emission fluxes could be adequately reproduced with the bi-directional resistance model; it suggested the forest ground layer (soil and litter) to be the main contributing component to the NH3 emissions. The modelled concentration from DAMOS fits well the measured concentrations before leaf fall, but during and after leaf fall, the modelled concentrations are too low. The results indicate that the missing contribution to atmospheric NH3 concentration from vegetative surfaces related to leaf fall are of a relatively large magnitude. We therefore conclude that emissions from deciduous forests are important to include in model calculations of atmospheric NH3 for forest ecosystems. Finally, diurnal variations in the measured NH3 concentrations were related to meteorological conditions, forest phenology and the spatial distribution of local anthropogenic NH3 sources. This suggests that an accurate description of ammonia fluxes over forest ecosystems requires a dynamic description of atmospheric and vegetation processes.	ecosystems
An extension of the beneﬁt segmentation base for  the consumption of organic foods: A time perspective	Beneﬁt segmentation is a long-standing marketing approach that emphasises the ‘what’ and ‘how’ dimensions of consumer beneﬁts; that is, what beneﬁts consumers perceive in product/service consumption, and how such beneﬁts are perceived. This research proposes a fresh time-based approach to beneﬁt segmentation – namely, focusing on the ‘when’ element or when in time beneﬁts take effect. Drawing upon a survey of UK consumers, it explains and discusses consumption motivations through examining antecedents  of temporally dominated beneﬁts in application to organic food. Speciﬁcally, the study investigates why some consumers predominantly seek present-based beneﬁts vis-à-vis future-based beneﬁts or vice versa in organic food purchase  and consumption behaviour. Using correlation and regression analyses, the research ﬁndings establish signiﬁcant associations of level of involvement, prior knowledge level, and product usage level, and some association of time  orientation with the temporally emphasised consumption beneﬁts consumers ultimately pursue. Overall, the research highlights the added contribution of a time perspective in a beneﬁt segmentation approach which can assist marketers  in understanding better and communicating more effectively with consumers through drawing up consumer proﬁles based on when in time their dominantly pursued beneﬁt for an offering is perceived to take effect.	consumption
Variation in Microbial Communities Colonizing Horticultural Slow Sand Filter Beds: Implications for Filter Function	The effect of microbial colonization on the function and rejuvenation of slow sand filters was investigated using culture-independent profiling. Colonization resulted in significant reduction in filter pore size, which may be important in order to fully remove pathogens, but was not associated with a specific microbial component. Communities were highly variable, and no common microbial groups were found in effective filters. Bacterial community composition was affected by sand particle size, although high levels of microbial turnover during filter maturation suggested that this was unlikely to have a major influence on community composition. The composition of microbial inoculum from a previous filter could not be maintained through a cycle of culture, storage and re-culture. Furthermore, no significant proportion of the inoculum persisted in filter maturity, and no advantages in terms of time to filter maturation or final filter efficiency were evident. These results may explain why filtration is such an effective and robust water treatment and emphasize the need for further research on the mechanisms involved in pathogen elimination.	water
Contraception: a Guide for Midwives.	Women will generally spend more of their reproductive lifetime preventing pregnancy than experiencing it. The choice of contraceptive methods can be confusing for women, each one having its own set of advantages and disadvantages. For new mothers, a method of contraception is important if a reasonable gap between pregnancies is the desired outcome. Given that ovulation can resume four weeks following childbirth, midwives have a clear role in the provision of up to date contraceptive health advice to women, including the availability of emergency contraception. Midwives, especially those working in the community, also need to be familiar with the range of contraceptive health clinics in their locality, together with a working knowledge of the various services offered by them.	women
Towards a climate-dependent paradigm of ammonia emission and deposition	Existing descriptions of bi-directional ammonia (NH3) land–atmosphere exchange incorporate temperature and moisture controls, and are beginning to be used in regional chemical transport models. However, such models have typically applied simpler emission factors to upscale the main NH3 emission terms. While this approach has successfully simulated the main spatial patterns on local to global scales, it fails to address the environment- and climate-dependence of emissions. To handle these issues, we outline the basis for a new modelling paradigm where both NH3 emissions and deposition are calculated online according to diurnal, seasonal and spatial differences in meteorology. We show how measurements reveal a strong, but complex pattern of climatic dependence, which is increasingly being characterized using ground-based NH3 monitoring and satellite observations, while advances in process-based modelling are illustrated for agricultural and natural sources, including a global application for seabird colonies. A future architecture for NH3 emission–deposition modelling is proposed that integrates the spatio-temporal interactions, and provides the necessary foundation to assess the consequences of climate change. Based on available measurements, a first empirical estimate  suggests that 58C warming would increase emissions by 42  per cent (28–67%). Together with increased anthropogenic  activity, global NH3 emissions may increase from 65  (45–85) Tg N in 2008 to reach 132 (89–179) Tg by 2100.	climate change,land
Character and Impact of Social Innovation in Higher Education.	This article offers a strategic multi-layered model for assessing the character and impact of social innovation in higher education connecting social and economic benefit. Whilst research to date has recognised the varying importance of the social and economic benefit of social and technological innovation, the literature is mostly silent on the contribution of purpose and strategy in achieving effective social innovation or how a regionally embedded university can maximise its impact in its community and the wider society. Whilst technological innovation is a critical component of future economic growth, social innovation is equally important in building social capital and in improving life chances. Governments have widely recognised that a university provides economic, environmental and cultural benefits to its community and, critically, should play a central role in re-balancing the economy of a community under stress and promoting growth in one that is prosperous. In the absence of well-documented, convincing examples of such re-balancing, this article offers a case study of The Hive, the first combined University and Public Library in Europe, an example of a strategic approach to social innovation in higher education that is bringing current and potential social and economic benefit to the community in which it is located.  A measure of impact is proposed that is multi-layered and reflects the range of qualitative and quantitative impacts of social innovation. This paper has value to all those concerned to identify, plan and maximise the beneficial impact of social innovation in higher education institutions both on their economies and their communities.	economic growth,innovation
The Role of Community Centre-based Arts, Leisure and Social Activities in Promoting Adult Well-being and Healthy Lifestyles	Developed countries are experiencing high levels of mental and physical illness associated with long term health conditions, unhealthy lifestyles and an ageing population. Given the limited capacity of the formal health care sector to address these public health issues, attention is turning to the role of agencies active in civil society. This paper sought to evaluate the associations between participation in community centre activities, the psycho-social wellbeing and health related behaviours. This was based on an evaluation of the South West Well-being programme involving ten organisations delivering leisure, exercise, cooking, befriending, arts and crafts activities. The evaluation consisted of a before-and-after study with 687 adults. The results showed positive changes in self-reported general health, mental health, personal and social well-being. Positive changes were associated with diet and physical activity. Some activities were different in their outcomes—especially in cases where group activities were combined with one-to-one support. The results suggest that community centre activities of this nature offer benefits that are generically supportive of health behaviour changes. Such initiatives can perform an important role in supporting the health improvement objectives of formal health care services. For commissioners and partner agencies, accessibility and participation are attractive features that are particularly pertinent to the current public health context.	well-being
Influence of Different Performance Levels on Pacing Strategy During the Women's World Championship Marathon Race.	Purpose  To analyse pacing strategies displayed by athletes achieving differing levels of performance during an elite level marathon race.   Methods  Competitors in the 2009 IAAF Women’s Marathon Championship were split into Groups 1, 2, 3, and 4 comprising the first, second, third, and fourth 25% of finishers respectively. Final, intermediate, and personal best (PB) times of finishers were converted to mean speeds, and relative speed (% of PB speed) was calculated for intermediate segments.    Results  Mean PB speed decreased from Group 1 to 4 and speed maintained in the race was 98.5 + 1.8%, 97.4 + 3.2%, 95.0 + 3.1% and 92.4 + 4.4% of PB speed for Groups 1-4 respectively.  Group 1 was fastest in all segments and differences in speed between groups increased throughout the race.  Group 1 ran at lower relative speeds than other groups for the first two 5 km segments, but higher relative speeds after 35km. Significant differences (P<0.01) in the percentage of PB speed maintained were observed between Groups 1 and 4, and 2 and 4 in all segments after 20 km, and Groups 3 and 4 from 20-25 km and 30-35 km.  Conclusions  Group 1 athletes achieved superior finishing times relative to their PB than athletes in other Groups who selected unsustainable initial speeds resulting in subsequent significant losses of speed.  It is suggested that psychological factors specific to a major competitive event influenced decision making by athletes and poor decisions resulted in final performances inferior to those expected based on PB times.	women
